GAME_ID,PERIOD,HOME_PLAYERS,AWAY_PLAYERS
22400001,1,"1627759, 1628369, 1628401, 1629674, 1630202, 1630573, 201143, 201950","1626204, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258, 203991"
22400001,2,"1627759, 1628369, 1628401, 1628436, 1629674, 1630202, 1630573, 1641775, 201143, 201950","1626204, 1629726, 1630168, 1630552, 1630700, 1630811, 1631223, 1642258, 203991"
22400001,3,"1627759, 1628369, 1628401, 1629674, 1630202, 1630573, 201143, 201950","1626204, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258, 203991"
22400001,4,"1627759, 1628369, 1628401, 1629674, 1630202, 1630573, 201143, 201950","1626204, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258"
22400002,1,"1627736, 1630191, 1630595, 1631093, 1631105, 1631323, 202699, 203501","1626179, 1626196, 1628389, 1629130, 1629312, 1629639, 1631107, 1631170, 1642276, 201567"
22400002,2,"1627736, 1630191, 1630595, 1631093, 1631105, 1631323, 1641842, 202699, 203501","1626179, 1628389, 1629130, 1629312, 1629639, 1631170, 1641796"
22400002,3,"1627736, 1630191, 1630595, 1631093, 1631105, 1631323, 1641842, 202699, 203501","1626179, 1628389, 1629130, 1629312, 1629639, 1631170, 1641796, 1642276, 201567"
22400002,4,"1627736, 1630191, 1630595, 1631093, 1631105, 1631323, 1641842, 202699","1626179, 1628389, 1629130, 1629312, 1629639, 1631170, 1641796"
22400002,5,"1627736, 1630191, 1630595, 1631093, 1631105, 1631323, 202699","1626179, 1628389, 1629130, 1629312, 1629639, 1641796, 1642276, 201567"
22400003,1,"1628371, 1629021, 1629048, 1630532, 1630591, 1641710, 1641783, 203484, 203914","1628998, 1629684, 1630163, 1630182, 1631217, 1641706, 1642275, 201959, 203552"
22400003,2,"1628371, 1629021, 1629048, 1630175, 1630532, 1630591, 1641710, 1641783, 203484, 203914","1628998, 1629684, 1630163, 1630182, 1631217, 1641706, 1642275, 201959, 203995"
22400003,3,"1628371, 1629021, 1629048, 1630532, 1630591, 1641710, 1641783, 203484, 203914","1628998, 1629684, 1630163, 1630182, 1631217, 1641706, 1642275, 201959, 203552"
22400003,4,"1628371, 1629021, 1630175, 1630243, 1630591, 1631216, 1641710, 1641724, 1641783, 202709, 203914","1629684, 1630163, 1630182, 1631197, 1631217, 1641706, 1641733, 1642275, 203995"
22400004,1,"1626162, 1627824, 1628997, 1630288, 1642272, 200768, 202331, 203083, 203954","1626157, 1626166, 1628384, 1628404, 1628969, 1628973, 1630346, 1630540, 1630579"
22400004,2,"1626162, 1627824, 1628997, 1630288, 1642272, 200768, 202331, 203083, 203954","1626157, 1626166, 1628384, 1628404, 1628969, 1628973, 1630346, 1630540, 1630579"
22400004,3,"1626162, 1627824, 1628997, 1630288, 1642272, 200768, 202331, 203083, 203954","1626157, 1626166, 1628384, 1628404, 1628969, 1628973, 1630346, 1630540, 1630579"
22400004,4,"1626162, 1627824, 1628997, 1630288, 1641737, 1641741, 1642272, 200768, 202331, 203083, 203954","1626157, 1628384, 1628404, 1628969, 1628973, 1630540, 1630579"
22400005,1,"1626153, 1626171, 1626192, 1627752, 1629018, 1631157, 1631260, 1641748, 201572, 203507","1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367, 1642419"
22400005,2,"1626153, 1626171, 1626192, 1627752, 1629018, 1631157, 1631260, 1641748, 201572, 203507","1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367, 1642419"
22400005,3,"1626153, 1626171, 1626192, 1627752, 1631157, 1631260, 1641748, 201572, 203507","1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367"
22400005,4,"1626153, 1626171, 1626192, 1627752, 1630649, 1630699, 1631260, 1641748, 1641753, 1641890, 1642358, 201572, 203507","1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367, 1642419, 202066"
22400006,1,"1628374, 1628381, 1629012, 1630548, 1641718, 1642262, 1642268, 1642271, 203903","1626145, 1626164, 1626220, 1628420, 1628960, 1642345, 1642346, 203078, 203486"
22400006,2,"1628374, 1628381, 1629012, 1629234, 1641718, 1641729, 1642262, 1642268, 1642271, 203903","1626145, 1626164, 1626220, 1628420, 1628960, 1629006, 1642345, 1642346, 203078, 203486"
22400006,3,"1628374, 1628381, 1629012, 1630548, 1641718, 1642262, 1642268, 1642271, 203903","1626145, 1626164, 1626220, 1628420, 1628960, 1629006, 1642345, 1642346, 203078, 203486"
22400006,4,"1628374, 1628381, 1629012, 1630548, 1641718, 1641729, 1642268, 1642271, 203903","1626145, 1626164, 1626220, 1628420, 1628960, 1629006, 1642345, 1642346, 203078, 203486"
22400007,1,"1626172, 1627741, 1627780, 1629001, 1630228, 1630541, 1631218, 1641764, 201939, 203110, 203952","1629029, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691, 203915"
22400007,2,"1626172, 1627741, 1627780, 1629001, 1630228, 1630541, 1631218, 1641764, 201939, 203110, 203952","1629029, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691"
22400007,3,"1626172, 1627741, 1627780, 1629001, 1630228, 1631218, 1641764, 201939, 203110, 203952","1629029, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691, 203915"
22400007,4,"1626172, 1627741, 1629001, 1630228, 1630541, 1641764, 201939, 203110, 203952","1629029, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691"
22400008,1,"1629014, 1629057, 1630166, 1630625, 1630703, 1631101, 1641712, 1641739, 1642270, 203924","1628978, 1629638, 1629675, 1630162, 1630183, 201144, 203497, 203944"
22400008,2,"1629057, 1630166, 1630625, 1631101, 1641712, 1641739, 1642270, 203924","1628978, 1629638, 1629675, 1630162, 1630183, 1631169, 201144, 203497, 203944"
22400008,3,"1629057, 1630166, 1630625, 1630703, 1631101, 1641712, 1641739, 1642270, 203924","1628978, 1629638, 1629675, 1630162, 1630183, 201144, 203497, 203944"
22400008,4,"1629057, 1630166, 1630625, 1630703, 1631101, 1641739, 1642270, 203924","1629638, 1629675, 1630162, 1630183, 201144, 203497, 203944"
22400009,1,"1626167, 1627783, 1630167, 1630169, 1631097, 1641716, 1641767, 204456","1626179, 1626196, 1628389, 1629130, 1629312, 1629639, 1631107, 1631170, 1642276, 201567"
22400009,2,"1626167, 1627783, 1630167, 1630169, 1631097, 1641716, 1641767, 204456","1626179, 1626196, 1628389, 1629130, 1629312, 1629639, 1631107, 1631170"
22400009,3,"1626167, 1627783, 1630167, 1630169, 1631097, 1631245, 1641716, 1641767, 1642277, 1642402, 204456","1626179, 1626196, 1628389, 1629130, 1629312, 1629639, 1631107, 1631170, 201567"
22400009,4,"1626167, 1627783, 1630167, 1630169, 1631097, 1631245, 1641716, 1641767, 1642277, 1642402","1626196, 1628389, 1629130, 1629312, 1629639, 1631107, 1631170, 1642276"
22400010,1,"1628371, 1629021, 1629048, 1630532, 1630591, 1641710, 1641783, 203484, 203914","1626162, 1627824, 1628997, 1630288, 1642272, 200768, 201569, 202331, 203954"
22400010,2,"1628371, 1629021, 1629048, 1630175, 1630532, 1630591, 1641710, 1641783, 203484, 203914","1626162, 1627824, 1628997, 1642272, 200768, 201569, 202331, 203083, 203954"
22400010,3,"1628371, 1629021, 1629048, 1630532, 1630591, 1641710, 1641783, 203484, 203914","1626162, 1627824, 1628997, 1642272, 200768, 201569, 202331, 203954"
22400010,4,"1628371, 1629021, 1629048, 1630175, 1630532, 1630591, 1631094, 1631216, 1641710, 1641724, 1641783, 202709, 203484, 203914","1626162, 1627824, 1628997, 1630231, 1630288, 1641737, 1641741, 1642272, 200768, 201569, 202331, 203954"
22400011,1,"1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367, 1642419","1627736, 1630191, 1630595, 1631093, 1631105, 1631111, 1641842, 202699"
22400011,2,"1627751, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367, 1642419, 202066","1627736, 1630191, 1630595, 1631093, 1631105, 1631111, 1641842, 202699"
22400011,3,"1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642419","1627736, 1630191, 1630595, 1631093, 1631105, 1631111, 1631204, 1641842, 202699"
22400011,4,"1627751, 1628449, 1628981, 1629628, 1630534, 1630558, 1641711, 1642347, 1642367, 1642419","1627736, 1630191, 1630595, 1631093, 1631105, 1631111, 1631204, 202699"
22400012,1,"1626204, 1629027, 1629631, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258, 203991","1628398, 1629673, 1630557, 1631098, 1641731, 1642259, 1642267, 1642273, 202685"
22400012,2,"1626204, 1629027, 1629631, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258, 203991","1628398, 1629673, 1630557, 1641731, 1642259, 1642267, 1642273, 202685"
22400012,3,"1626204, 1629027, 1629631, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258, 203991","1628398, 1629673, 1630557, 1631098, 1641731, 1642259, 1642267, 1642273, 202685"
22400012,4,"1629027, 1629631, 1629726, 1630168, 1630552, 1630700, 1630811, 1642258, 203991","1628398, 1629673, 1630557, 1641731, 1642259, 1642267, 1642273, 202685"
22400013,1,"1627747, 1627777, 1628378, 1628386, 1629636, 1629660, 1629731, 1630171","1629632, 1630172, 1630188, 1630245, 1630581, 1631207, 1641763, 202696, 203897"
22400013,2,"1627747, 1627777, 1628378, 1628386, 1629636, 1629660, 1629731, 1630171, 1641854, 202684","1629632, 1630172, 1630188, 1630245, 1630581, 1631207, 1641763, 1641824, 202696, 203897"
22400013,3,"1627747, 1627777, 1628378, 1628386, 1629636, 1629660, 1629731, 1630171","1629632, 1630172, 1630188, 1630245, 1630581, 1631207, 1641763, 202696, 203897"
22400013,4,"1627747, 1627777, 1628378, 1628386, 1629636, 1629660, 1629731, 1630171","1629632, 1629659, 1630172, 1630188, 1630245, 1630537, 1630581, 1630604, 1631207, 1641763, 1641824, 202696, 203897"
22400014,1,"1626166, 1628384, 1628404, 1628969, 1628973, 1630574, 1630579","1627732, 1627827, 1629003, 1629661, 1630533, 1630553, 1630560, 1641730, 203471"
22400014,2,"1626166, 1628384, 1628404, 1628969, 1628973, 1630574, 1642278, 1642359","1627732, 1627827, 1629661, 1630533, 1630553, 1630560, 1630592, 1641730, 203471"
22400014,3,"1626166, 1628384, 1628404, 1628969, 1628973, 1630574, 1630579, 1642278, 1642359","1627732, 1627827, 1629003, 1629661, 1630533, 1630553, 1630560, 1630592, 1641730, 203471"
22400014,4,"1626166, 1628384, 1628404, 1628969, 1628973, 1630574, 1642278, 1642359","1627732, 1627827, 1629661, 1630533, 1630560, 203471"
22400015,1,"101108, 1628380, 1629640, 1630170, 1630577, 1631104, 1641705, 1642264, 203084","1626156, 1629216, 1629629, 1630559, 1631108, 1642261, 203076, 2544"
22400015,2,"101108, 1628380, 1629640, 1630170, 1630572, 1630577, 1631103, 1641705, 1642264, 203084","1626156, 1629216, 1629629, 1630559, 1631108, 1631132, 1642261, 203076, 2544"
22400015,3,"101108, 1628380, 1629640, 1630170, 1630577, 1631104, 1641705, 1642264, 203084","1626156, 1629216, 1629629, 1630559, 1631108, 1631132, 1642261, 203076, 2544"
22400015,4,"101108, 1628380, 1629640, 1630170, 1630577, 1641705, 1642264, 203084","1626156, 1629216, 1629629, 1630559, 1631108, 1631132, 203076, 2544"
22400016,1,"1627832, 1628415, 1630224, 1630578, 1631095, 1631106, 1641708, 1642263, 203500","1626181, 1627739, 1627826, 1627884, 1629599, 1629611, 1629645, 1630539, 201935"
22400016,2,"1627832, 1628415, 1630224, 1630578, 1631095, 1631106, 1641708, 1642263, 203500","1626181, 1627739, 1627826, 1627884, 1629599, 1629611, 1629645, 201587, 201935"
22400016,3,"1627832, 1628415, 1630224, 1630578, 1631095, 1631106, 1641708","1626181, 1627739, 1627826, 1627884, 1629599, 1629645, 201935"
22400016,4,"1627832, 1628415, 1628988, 1629098, 1629111, 1630256, 1630578, 1631095, 1631106, 1641708, 1642263","1626181, 1627826, 1629599, 1629611, 1629645, 1630538, 1630539, 1641738, 1641757"
22400017,1,"1627742, 1629669, 1629750, 1630526, 1630527, 1630530, 1631288, 1641998, 1642274","1627750, 1629008, 1630192, 1631124, 1631128, 1631212, 1641816, 201566, 203967"
22400017,2,"1627742, 1629669, 1629750, 1630526, 1630527, 1630530, 1631288, 1641998, 1642274","1627750, 1629008, 1631124, 1631128, 1631212, 201566, 203967"
22400017,3,"1627742, 1629669, 1629750, 1630526, 1630527, 1630530, 1631288, 1641998, 1642274","1627750, 1628427, 1629008, 1631124, 1631128, 1631212, 201566, 203967"
22400017,4,"1627742, 1629669, 1629750, 1630526, 1630527, 1630530, 1631288, 1641998, 1642274","1627750, 1628427, 1629008, 1631128, 1631212, 1641816, 201566, 203967"
22400018,1,"1628983, 1629026, 1629652, 1630198, 1630598, 1631114, 1631172, 1641717, 1642349","1626145, 1626164, 1626220, 1628420, 1629006, 1642345, 1642346, 203994"
22400018,2,"1628983, 1629026, 1629652, 1630198, 1630598, 1631114, 1631172, 1641717, 1641794, 1642349","1626145, 1626164, 1626220, 1628420, 1629006, 1631102, 1642345, 1642346, 203994"
