GAME_ID,PERIOD,HOME_STARTERS,AWAY_STARTERS
22400001,1,"201143, 201950, 1627759, 1628369, 1628401","203991, 1630552, 1630700, 1630811, 1642258"
22400001,2,"201950, 1628401, 1628436, 1630202, 1630573","1630168, 1630552, 1630811, 1631223, 1642258"
22400001,3,"201143, 201950, 1627759, 1628369, 1628401","203991, 1630552, 1630700, 1630811, 1642258"
22400001,4,"201143, 1628369, 1628401, 1630202, 1630573","1626204, 1630168, 1630552, 1630700"
22400002,1,"202699, 203501, 1630595, 1631093, 1631105","201567, 1626179, 1628389, 1629312, 1629639"
22400002,2,"1627736, 1630595, 1631105, 1631323, 1641842","1626179, 1628389, 1629130, 1629312, 1641796"
22400002,3,"202699, 203501, 1630595, 1631093, 1631105","201567, 1626179, 1628389, 1629312, 1629639"
22400002,4,"1627736, 1631093, 1631105, 1631323, 1641842","1626179, 1628389, 1629130, 1631170, 1641796"
22400002,5,"202699, 1627736, 1630191, 1630595, 1631093","201567, 1626179, 1628389, 1629130, 1629312, 1629639, 1642276"
22400003,1,"203484, 1629048, 1630532, 1630591, 1641783","201959, 1629684, 1630163, 1630182, 1641706"
22400003,2,"203914, 1628371, 1629021, 1630591, 1641710","201959, 203995, 1628998, 1629684, 1641706"
22400003,3,"203484, 1629048, 1630532, 1630591, 1641783","201959, 1629684, 1630163, 1630182, 1641706"
22400003,4,"203914, 1628371, 1629021, 1630591, 1641710, 1641783","203995, 1629684, 1630182, 1641706, 1642275"
22400004,1,"200768, 202331, 203954, 1626162, 1628997","1626157, 1628384, 1628404, 1628969, 1628973"
22400004,2,"203954, 1626162, 1627824, 1630288, 1642272","1626157, 1626166, 1630346, 1630540"
22400004,3,"200768, 202331, 203954, 1626162, 1628997","1626157, 1628384, 1628404, 1628969, 1630540"
22400004,4,"203954, 1626162, 1627824, 1630288, 1642272","1626157, 1628384, 1628404, 1628973, 1630540"
22400005,1,"201572, 203507, 1627752, 1631157, 1631260","1627751, 1629628, 1630534, 1630558, 1641711"
22400005,2,"1626153, 1626171, 1626192, 1629018, 1641748","1628449, 1629628, 1642347, 1642367, 1642419"
22400005,3,"201572, 203507, 1627752, 1631157, 1631260","1627751, 1629628, 1630534, 1630558, 1641711"
22400005,4,"201572, 1626153, 1626171, 1626192, 1641748","1627751, 1628449, 1630534, 1630558, 1641711, 1642419"
22400006,1,"1628374, 1628381, 1629012, 1641718, 1642262","203078, 203486, 1626145, 1626164, 1642346"
22400006,2,"203903, 1628374, 1641729, 1642268, 1642271","203078, 1628420, 1628960, 1629006, 1642345"
22400006,3,"1628374, 1628381, 1629012, 1641718, 1642262","203078, 203486, 1626145, 1626164, 1642346"
22400006,4,"203903, 1628374, 1630548, 1642268, 1642271","203078, 1628420, 1628960, 1629006, 1642345"
22400007,1,"201939, 203110, 203952, 1629001, 1631218","202681, 202691, 1629029, 1629655, 1630230"
22400007,2,"1626172, 1629001, 1630228, 1630541, 1641764","202691, 1629029, 1629656, 1630702, 1641726"
22400007,3,"201939, 203110, 203952, 1629001, 1631218","202681, 202691, 1629029, 1629655, 1630230"
22400007,4,"203110, 1629001, 1630228, 1630541, 1641764","202681, 202691, 1629029, 1630230, 1641726"
22400008,1,"203924, 1629014, 1631101, 1641739, 1642270","201144, 203497, 203944, 1630162, 1630183"
22400008,2,"1630166, 1630625, 1631101, 1641712, 1642270","201144, 203497, 1628978, 1629638, 1629675"
22400008,3,"203924, 1630703, 1631101, 1641739, 1642270","201144, 203497, 203944, 1630162, 1630183"
22400008,4,"203924, 1630166, 1630625, 1631101, 1642270","201144, 203497, 1629638, 1629675, 1630183"
22400009,1,"1626167, 1627783, 1630169, 1631097, 1641767","201567, 1626179, 1628389, 1629312, 1629639"
22400009,2,"204456, 1626167, 1627783, 1641716, 1641767","1626196, 1628389, 1629130, 1631107, 1631170"
22400009,3,"1626167, 1627783, 1630169, 1631097, 1641767","201567, 1626179, 1628389, 1629312, 1629639"
22400009,4,"1626167, 1627783, 1630169, 1631097, 1641767","1626196, 1628389, 1629130, 1631107, 1631170"
22400010,1,"203484, 1629048, 1630532, 1630591, 1641783","200768, 202331, 203954, 1628997, 1642272"
22400010,2,"203914, 1628371, 1629021, 1630591, 1641710","201569, 203954, 1626162, 1627824, 1642272"
22400010,3,"203484, 1629048, 1630532, 1630591, 1641783","200768, 202331, 203954, 1628997, 1642272"
22400010,4,"203914, 1628371, 1629021, 1630591, 1631094, 1641710","200768, 203954, 1626162, 1627824, 1642272"
22400011,1,"1627751, 1629628, 1630534, 1630558, 1641711","202699, 1627736, 1630595, 1631093, 1631105"
22400011,2,"1627751, 1629628, 1630558, 1641711, 1642347, 1642367, 1642419","1627736, 1630191, 1630595, 1631111, 1641842"
22400011,3,"1627751, 1629628, 1630534, 1630558, 1641711","202699, 1627736, 1630595, 1631093, 1631105, 1641842"
22400011,4,"1628449, 1628981, 1629628, 1642347, 1642367, 1642419","1627736, 1630191, 1631093, 1631111, 1631204"
22400012,1,"203991, 1629027, 1630552, 1630700, 1642258","1628398, 1629673, 1641731, 1642259, 1642267"
22400012,2,"1629726, 1630168, 1630552, 1630811, 1642258","1630557, 1641731, 1642259, 1642267, 1642273"
22400012,3,"203991, 1629027, 1630552, 1630700, 1642258","1628398, 1629673, 1641731, 1642259, 1642267"
22400012,4,"203991, 1629726, 1630552, 1630811, 1642258","202685, 1629673, 1630557, 1641731, 1642273"
22400013,1,"1627777, 1628378, 1628386, 1629636, 1630171","202696, 203897, 1629632, 1630172, 1630581"
22400013,2,"202684, 1627747, 1628378, 1629660, 1629731","1629632, 1630188, 1630245, 1630581, 1641763, 1641824"
22400013,3,"1627777, 1628378, 1628386, 1629636, 1630171","202696, 203897, 1629632, 1630172, 1630581"
22400013,4,"1628378, 1628386, 1629660, 1629731, 1630171","203897, 1629632, 1630172, 1630188, 1641763"
22400014,1,"1628384, 1628404, 1628969, 1628973, 1630579","203471, 1627732, 1627827, 1629661, 1630560"
22400014,2,"1626166, 1628404, 1630574, 1642278","203471, 1627827, 1630533, 1630553, 1630592, 1641730"
